,코인명,캔들기준시간(KST 기준),시가,고가,저가,중가,누적거래금액,누적거래량
0,비트코인,2021-05-11T13:00:00,69552000.0,69850000.0,69507000.0,69779000.0,3142082759.58318,45.11640435
1,비트코인,2021-05-11T12:30:00,69256000.0,69930000.0,68979000.0,69552000.0,26342537872.43783,379.05835644
2,비트코인,2021-05-11T12:00:00,70000000.0,70010000.0,68500000.0,69248000.0,63795139606.01138,922.34388556
3,비트코인,2021-05-11T11:30:00,71113000.0,71250000.0,69999000.0,70000000.0,27184796160.99579,385.65696137
4,비트코인,2021-05-11T11:00:00,70537000.0,71330000.0,70510000.0,71113000.0,25970043670.72999,366.29743109
5,비트코인,2021-05-11T10:30:00,70483000.0,70800000.0,70211000.0,70539000.0,13130625146.32752,186.17975144
6,비트코인,2021-05-11T10:00:00,71021000.0,71374000.0,70483000.0,70483000.0,8543698768.43154,120.22560052
7,비트코인,2021-05-11T09:30:00,71728000.0,71728000.0,70913000.0,71022000.0,23725959972.94241,332.91642322
8,비트코인,2021-05-11T09:00:00,70902000.0,71750000.0,70436000.0,71724000.0,42237386440.93075,595.2987774
9,비트코인,2021-05-11T08:30:00,70455000.0,71100000.0,70175000.0,70902000.0,25225879372.9685,356.72955226
10,비트코인,2021-05-11T08:00:00,71632000.0,71677000.0,70453000.0,70455000.0,22391266913.17407,315.25946245
11,비트코인,2021-05-11T07:30:00,71481000.0,71700000.0,70962000.0,71636000.0,21205602226.93644,297.51772849
12,비트코인,2021-05-11T07:00:00,71253000.0,71785000.0,71160000.0,71499000.0,18810647248.92767,263.17622745
13,비트코인,2021-05-11T06:30:00,70874000.0,71340000.0,70783000.0,71253000.0,16560206664.16003,232.983253
14,비트코인,2021-05-11T06:00:00,71217000.0,71508000.0,70685000.0,70843000.0,20708088610.59847,291.25598738
15,비트코인,2021-05-11T05:30:00,71855000.0,71855000.0,70300000.0,71218000.0,43337449916.79083,610.60729708
16,비트코인,2021-05-11T05:00:00,72013000.0,72460000.0,71110000.0,71791000.0,57334360288.46639,795.97079178
17,비트코인,2021-05-11T04:30:00,71784000.0,72400000.0,71300000.0,72060000.0,25677085146.12244,357.42312212
18,비트코인,2021-05-11T04:00:00,71599000.0,71920000.0,71433000.0,71790000.0,9357845610.20954,130.4901494
19,비트코인,2021-05-11T03:30:00,71079000.0,71950000.0,71010000.0,71599000.0,17297402329.25436,241.87314212
20,비트코인,2021-05-11T03:00:00,71185000.0,71278000.0,71000000.0,71080000.0,8202556340.86605,115.32188012
21,비트코인,2021-05-11T02:30:00,71413000.0,71649000.0,71175000.0,71184000.0,13079230191.29088,183.19522573
22,비트코인,2021-05-11T02:00:00,71754000.0,71826000.0,71400000.0,71413000.0,9283285469.61935,129.72931314
23,비트코인,2021-05-11T01:30:00,71800000.0,71949000.0,71600000.0,71755000.0,7303345325.46121,101.75832341
24,비트코인,2021-05-11T01:00:00,71990000.0,72383000.0,71800000.0,71800000.0,17699723250.19203,245.52988432
25,비트코인,2021-05-11T00:30:00,71218000.0,71998000.0,71121000.0,71987000.0,15687558150.08159,219.56339139
26,비트코인,2021-05-11T00:00:00,71038000.0,71500000.0,70808000.0,71218000.0,18768015036.5571,263.62843974
27,비트코인,2021-05-10T23:30:00,71699000.0,71699000.0,71000000.0,71000000.0,30125761329.17522,422.57585722
28,비트코인,2021-05-10T23:00:00,71920000.0,71980000.0,71637000.0,71701000.0,19269657842.07958,268.42998586
29,비트코인,2021-05-10T22:30:00,72399000.0,72453000.0,71893000.0,71919000.0,18538150209.06804,256.91727091
