,코인명,캔들기준시간(KST 기준),시가,고가,저가,중가,누적거래금액,누적거래량
0,비트토렌트,2021-05-11T09:00:00,8.13,8.42,7.87,8.17,127909561318.39348,15693240259.801517
1,비트토렌트,2021-05-10T09:00:00,9.02,9.05,8.0,8.14,378190086427.6067,43962385819.23251
2,비트토렌트,2021-05-09T09:00:00,9.14,9.33,8.52,9.02,458668080290.1603,51553252244.360275
3,비트토렌트,2021-05-08T09:00:00,9.25,9.92,8.91,9.13,542291787476.1165,58218427249.28435
4,비트토렌트,2021-05-07T09:00:00,9.68,11.2,8.75,9.25,1725807101280.1653,172062183769.56445
5,비트토렌트,2021-05-06T09:00:00,8.67,10.1,8.29,9.68,1730239409188.853,186951603687.2815
6,비트토렌트,2021-05-05T09:00:00,8.01,9.46,7.87,8.66,1413918084096.2568,164687859139.5272
7,비트토렌트,2021-05-04T09:00:00,8.5,8.51,7.8,8.01,567668604628.2352,69576341899.93
8,비트토렌트,2021-05-03T09:00:00,8.44,8.65,8.36,8.51,353743739770.597,41625224316.42494
9,비트토렌트,2021-05-02T09:00:00,8.64,8.75,8.15,8.44,384393294387.19574,45325736502.46541
10,비트토렌트,2021-05-01T09:00:00,8.53,8.87,8.27,8.64,496730611825.14044,57847290291.287674
11,비트토렌트,2021-04-30T09:00:00,8.21,8.69,8.12,8.53,413143401283.5586,49306861583.345604
12,비트토렌트,2021-04-29T09:00:00,8.29,8.45,8.02,8.21,295043909194.9491,35793765676.43005
13,비트토렌트,2021-04-28T09:00:00,8.71,8.96,7.91,8.28,746665591794.8279,89549202925.48204
14,비트토렌트,2021-04-27T09:00:00,8.36,9.26,8.07,8.7,1061524341259.7593,122473126100.30573
15,비트토렌트,2021-04-26T09:00:00,7.83,8.47,7.62,8.35,779139611948.9532,95806666892.08585
16,비트토렌트,2021-04-25T09:00:00,8.12,8.39,7.06,7.83,1000726811446.7194,125124198933.24185
17,비트토렌트,2021-04-24T09:00:00,8.62,9.42,7.65,8.12,2965616424796.648,350293773196.5637
18,비트토렌트,2021-04-23T09:00:00,7.27,8.63,4.9,8.6,3474109538475.5376,498358182623.1262
19,비트토렌트,2021-04-22T09:00:00,9.58,9.68,6.71,7.28,1218863688821.1914,143741295391.1859
20,비트토렌트,2021-04-21T09:00:00,9.89,10.1,9.5,9.58,434928491752.05164,44245953671.25238
21,비트토렌트,2021-04-20T09:00:00,9.97,10.3,8.58,9.88,1286044485701.953,132245675466.42108
22,비트토렌트,2021-04-19T09:00:00,10.8,11.0,9.9,9.97,605588536585.6913,58962305857.272835
23,비트토렌트,2021-04-18T09:00:00,11.8,12.1,9.83,10.9,1204346066169.0881,113422835467.59947
24,비트토렌트,2021-04-17T09:00:00,9.99,14.0,9.92,11.9,2774583471268.093,233186304230.8995
25,비트토렌트,2021-04-16T09:00:00,10.4,10.8,9.62,9.99,869107648758.3306,86674590693.41574
26,비트토렌트,2021-04-15T09:00:00,9.77,10.9,9.4,10.3,830634188689.0321,81385676839.46782
27,비트토렌트,2021-04-14T09:00:00,10.4,10.4,9.05,9.78,704693182430.2765,71194895854.8214
28,비트토렌트,2021-04-13T09:00:00,10.5,11.0,9.66,10.4,668054761077.057,65460556863.22761
29,비트토렌트,2021-04-12T09:00:00,11.1,11.3,10.3,10.5,393114180955.9412,36489220809.76721
30,비트토렌트,2021-04-11T09:00:00,11.3,11.8,10.2,11.0,800020881553.5927,73141234071.98297
31,비트토렌트,2021-04-10T09:00:00,11.9,12.1,10.7,11.2,629935872897.0851,56126205615.023636
32,비트토렌트,2021-04-09T09:00:00,12.5,13.2,11.5,12.0,899099024385.0406,74130118988.62376
33,비트토렌트,2021-04-08T09:00:00,10.3,12.8,9.98,12.6,1343271154868.9922,118148536281.92137
34,비트토렌트,2021-04-07T09:00:00,13.1,14.3,8.45,10.3,2425718468416.803,222468340735.48236
35,비트토렌트,2021-04-06T09:00:00,13.6,15.2,11.5,13.0,1953373384742.3245,148535555477.7571
36,비트토렌트,2021-04-05T09:00:00,12.9,18.8,12.3,13.7,3346963929725.0024,219699573358.1149
37,비트토렌트,2021-04-04T09:00:00,8.82,13.4,8.45,12.9,2174813309414.1587,205091043243.2389
38,비트토렌트,2021-04-03T09:00:00,8.76,9.61,7.91,8.8,1629107418097.0234,184088241967.89862
