,코인명,캔들기준시간(KST 기준),시가,고가,저가,중가,누적거래금액,누적거래량
0,도지코인,2021-05-11T09:00:00,574.0,604.0,563.0,601.0,133501427454.23651,230022615.7910787
1,도지코인,2021-05-10T09:00:00,703.0,704.0,555.0,575.0,3711874789142.5444,5902763023.244148
2,도지코인,2021-05-09T09:00:00,773.0,844.0,548.0,703.0,10583724282016.693,16065916032.797024
3,도지코인,2021-05-08T09:00:00,823.0,889.0,751.0,774.0,5978179224604.231,7256867945.231757
4,도지코인,2021-05-07T09:00:00,708.0,868.0,628.0,825.0,7387161471774.226,9917440282.63205
5,도지코인,2021-05-06T09:00:00,783.0,805.0,670.0,708.0,4323536811067.008,5872843110.335455
6,도지코인,2021-05-05T09:00:00,674.0,887.0,668.0,783.0,11907973114097.645,15198662286.472628
7,도지코인,2021-05-04T09:00:00,539.0,768.0,501.0,675.0,10928695933774.066,17030012491.000616
8,도지코인,2021-05-03T09:00:00,453.0,548.0,453.0,539.0,2437426173499.236,4918062599.184709
9,도지코인,2021-05-02T09:00:00,464.0,483.0,434.0,453.0,1624351694398.5688,3530273013.8918333
10,도지코인,2021-05-01T09:00:00,397.0,474.0,384.0,465.0,2222805667455.551,5159788208.2497225
11,도지코인,2021-04-30T09:00:00,363.0,405.0,360.0,398.0,1043598015970.8143,2756637378.346507
12,도지코인,2021-04-29T09:00:00,377.0,388.0,354.0,363.0,1088300185751.0212,2942668995.732259
13,도지코인,2021-04-28T09:00:00,322.0,419.0,298.0,376.0,4563380401554.364,12573607576.245735
14,도지코인,2021-04-27T09:00:00,325.0,335.0,310.0,322.0,822585395037.4008,2555108535.096501
15,도지코인,2021-04-26T09:00:00,309.0,336.0,298.0,324.0,1041960099548.4246,3272700850.9003344
16,도지코인,2021-04-25T09:00:00,328.0,357.0,277.0,309.0,1603907953942.7861,4907089687.781334
17,도지코인,2021-04-24T09:00:00,294.0,349.0,273.0,327.0,2822961856514.161,8812486631.448751
18,도지코인,2021-04-23T09:00:00,302.0,316.0,198.0,295.0,2980211046526.365,11307842963.46133
19,도지코인,2021-04-22T09:00:00,388.0,393.0,287.0,301.0,2777487853212.3696,8213180883.987483
