,코인명,캔들기준시간(KST 기준),시가,고가,저가,중가,누적거래금액,누적거래량
0,메디블록,2021-05-10T09:00:00,146.0,151.0,141.0,143.0,96292902564.96075,663302142.6803776
1,메디블록,2021-05-09T09:00:00,149.0,152.0,138.0,146.0,88015515918.30922,610221359.5018877
2,메디블록,2021-05-08T09:00:00,148.0,158.0,145.0,149.0,158589784874.41898,1045368275.1887152
3,메디블록,2021-05-07T09:00:00,153.0,163.0,135.0,148.0,220356341106.67676,1491176467.9185739
4,메디블록,2021-05-06T09:00:00,157.0,174.0,150.0,152.0,325109562943.7498,2048663780.2407637
5,메디블록,2021-05-05T09:00:00,156.0,162.0,149.0,157.0,193103986136.61877,1250555341.0152113
6,메디블록,2021-05-04T09:00:00,177.0,178.0,154.0,156.0,239340359555.86307,1457138165.956723
7,메디블록,2021-05-03T09:00:00,178.0,184.0,174.0,177.0,244556994645.75433,1373455742.0347776
8,메디블록,2021-05-02T09:00:00,163.0,194.0,161.0,179.0,706876293237.7484,3947335497.3673716
9,메디블록,2021-05-01T09:00:00,158.0,167.0,154.0,163.0,175081098705.62378,1090602176.3524878
10,메디블록,2021-04-30T09:00:00,155.0,162.0,151.0,158.0,138800462449.59192,892151837.0116746
11,메디블록,2021-04-29T09:00:00,147.0,168.0,142.0,155.0,355490967795.42865,2294318512.440846
12,메디블록,2021-04-28T09:00:00,156.0,162.0,137.0,147.0,249725707748.33582,1694899213.7486427
13,메디블록,2021-04-27T09:00:00,149.0,163.0,145.0,157.0,277348277423.47565,1798239848.4528794
14,메디블록,2021-04-26T09:00:00,125.0,152.0,124.0,149.0,327827766997.0703,2360082068.445391
15,메디블록,2021-04-25T09:00:00,119.0,143.0,116.0,125.0,390569265199.29755,3033888914.977119
16,메디블록,2021-04-24T09:00:00,123.0,129.0,110.0,118.0,243377596161.87,2045305832.0596352
17,메디블록,2021-04-23T09:00:00,129.0,136.0,80.1,123.0,374951947377.0071,3472469826.072779
18,메디블록,2021-04-22T09:00:00,164.0,174.0,121.0,129.0,327026046282.599,2205572103.376428
19,메디블록,2021-04-21T09:00:00,143.0,175.0,143.0,163.0,536069705719.92847,3315643941.095468
20,메디블록,2021-04-20T09:00:00,151.0,160.0,123.0,143.0,291063117891.84406,2082048832.1886773
21,메디블록,2021-04-19T09:00:00,161.0,174.0,147.0,151.0,187530330912.58063,1188885991.9710538
22,메디블록,2021-04-18T09:00:00,182.0,183.0,147.0,161.0,213133044247.26736,1332635080.709408
23,메디블록,2021-04-17T09:00:00,178.0,195.0,157.0,181.0,295832874108.23267,1723906134.99301
24,메디블록,2021-04-16T09:00:00,198.0,199.0,166.0,178.0,246069892437.32504,1376645257.2583096
25,메디블록,2021-04-15T09:00:00,189.0,208.0,183.0,199.0,237335042871.1286,1216359825.0740707
26,메디블록,2021-04-14T09:00:00,212.0,213.0,177.0,189.0,275616595422.7608,1440100947.8388264
27,메디블록,2021-04-13T09:00:00,225.0,227.0,203.0,212.0,167219047905.7043,791921297.2318698
28,메디블록,2021-04-12T09:00:00,218.0,245.0,211.0,225.0,369766013403.4243,1649823059.2648773
29,메디블록,2021-04-11T09:00:00,230.0,230.0,191.0,218.0,199660812922.87396,945631317.5557177
30,메디블록,2021-04-10T09:00:00,250.0,251.0,223.0,230.0,204655714873.22342,880018647.4663765
31,메디블록,2021-04-09T09:00:00,247.0,263.0,223.0,249.0,451562142113.13226,1892333780.3041337
32,메디블록,2021-04-08T09:00:00,197.0,249.0,193.0,247.0,659644543845.3076,3037864489.1867404
33,메디블록,2021-04-07T09:00:00,271.0,272.0,142.0,196.0,1194271829261.8245,6025226264.484325
