,코인명,캔들기준시간(KST 기준),시가,고가,저가,중가,누적거래금액,누적거래량
0,리플,2021-05-11T10:15:00,1765.0,1770.0,1755.0,1755.0,2437129991.6812043,1382474.91638295
1,리플,2021-05-11T10:00:00,1790.0,1800.0,1780.0,1780.0,11852001386.736065,6617676.50969789
2,리플,2021-05-11T09:45:00,1810.0,1815.0,1785.0,1785.0,21462834062.076855,11945014.12123581
3,리플,2021-05-11T09:30:00,1830.0,1835.0,1800.0,1810.0,21853656525.29798,12025812.01060101
4,리플,2021-05-11T09:15:00,1805.0,1840.0,1785.0,1830.0,39051490830.62041,21475427.10325356
5,리플,2021-05-11T09:00:00,1770.0,1815.0,1760.0,1800.0,43344923202.213196,24235331.39530171
6,리플,2021-05-11T08:45:00,1775.0,1795.0,1755.0,1775.0,28213033563.49119,15878819.09862301
7,리플,2021-05-11T08:30:00,1765.0,1790.0,1730.0,1775.0,42453462136.452805,24051173.01620009
8,리플,2021-05-11T08:15:00,1790.0,1805.0,1755.0,1765.0,31624238991.274822,17746490.85919269
9,리플,2021-05-11T08:00:00,1840.0,1840.0,1785.0,1790.0,26522997603.02591,14686322.2977399
10,리플,2021-05-11T07:45:00,1820.0,1840.0,1815.0,1835.0,10393716258.133686,5683739.80543273
11,리플,2021-05-11T07:30:00,1820.0,1825.0,1805.0,1820.0,18300580407.239166,10091857.8430937
12,리플,2021-05-11T07:15:00,1850.0,1860.0,1815.0,1820.0,19633051516.92899,10687779.0581315
13,리플,2021-05-11T07:00:00,1835.0,1850.0,1820.0,1850.0,16281445326.693892,8859956.92141048
14,리플,2021-05-11T06:45:00,1830.0,1840.0,1810.0,1835.0,20862854316.4723,11416345.36049213
15,리플,2021-05-11T06:30:00,1795.0,1835.0,1790.0,1830.0,18345573115.41712,10118398.57742995
16,리플,2021-05-11T06:15:00,1815.0,1820.0,1780.0,1795.0,25077363461.705612,13943911.35164583
17,리플,2021-05-11T06:00:00,1800.0,1825.0,1775.0,1820.0,29472050432.404358,16331591.76104437
18,리플,2021-05-11T05:45:00,1765.0,1805.0,1715.0,1800.0,46994096228.994865,26728994.56958905
19,리플,2021-05-11T05:30:00,1785.0,1800.0,1750.0,1765.0,36195048759.317116,20363406.71169944
